Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,"International migrant stock, total",46468,,,,,49535,,,,,53051,,,,,57043,,,,,59021,,,,,56118,,,,,57686,..,..,..,..,71522,,,,,75917,,,,,87300,,,,,102246,,,,,382365,,,
Albania,"International migrant stock, total",48901,,,,,51409,,,,,54045,,,,,56816,,,,,59730,,,,,62793,,,,,66013,..,..,..,..,71354,,,,,76695,,,,,64739,,,,,52784,,,,,57616,,,
Algeria,"International migrant stock, total",430447,,,,,208299,,,,,168949,,,,,160287,,,,,184995,,,,,288665,,,,,273954,..,..,..,..,262032,,,,,250110,,,,,247537,,,,,244964,,,,,242391,,,
American Samoa,"International migrant stock, total",2384,,,,,4170,,,,,7248,,,,,10843,,,,,13594,,,,,17073,,,,,21283,..,..,..,..,23098,,,,,24912,,,,,24233,,,,,23555,,,,,23216,,,
Andorra,"International migrant stock, total",2497,,,,,6983,,,,,13446,,,,,18623,,,,,25792,,,,,32306,,,,,38904,..,..,..,..,40525,,,,,42146,,,,,50298,,,,,52053,,,,,42082,,,
Angola,"International migrant stock, total",122089,,,,,77075,,,,,48657,,,,,30717,,,,,89891,,,,,108854,,,,,33517,..,..,..,..,39813,,,,,46108,,,,,61329,,,,,76549,,,,,106845,,,
Antigua and Barbuda,"International migrant stock, total",4868,,,,,5807,,,,,6914,,,,,7941,,,,,9120,,,,,10474,,,,,12029,..,..,..,..,17550,,,,,23071,,,,,24741,,,,,26412,,,,,28083,,,
Argentina,"International migrant stock, total",2601188,,,,,2409183,,,,,2219411,,,,,2064199,,,,,1920798,,,,,1780443,,,,,1649919,..,..,..,..,1595069,,,,,1540219,,,,,1673088,,,,,1805957,,,,,2086302,,,
Armenia,"International migrant stock, total",,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,658789,..,..,..,..,693999,,,,,657900,,,,,469119,,,,,221560,,,,,191199,,,
Aruba,"International migrant stock, total",7893,,,,,7677,,,,,7466,,,,,7262,,,,,7063,,,,,9860,,,,,14444,..,..,..,..,22274,,,,,30104,,,,,32540,,,,,34327,,,,,36114,,,
Australia,"International migrant stock, total",1698085,,,,,2054727,,,,,2456522,,,,,2659453,,,,,2896444,,,,,3143480,,,,,3955213,..,..,..,..,4153330,,,,,4386250,,,,,4878030,,,,,5882980,,,,,6763663,,,
Austria,"International migrant stock, total",806643,,,,,744995,,,,,676679,,,,,721037,,,,,719958,,,,,728326,,,,,793239,..,..,..,..,894893,,,,,996547,,,,,1136270,,,,,1275992,,,,,1492374,,,
Azerbaijan,"International migrant stock, total",,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,360600,..,..,..,..,344070,,,,,327540,,,,,302220,,,,,276901,,,,,264241,,,
"Bahamas, The","International migrant stock, total",11331,,,,,18754,,,,,30916,,,,,27217,,,,,24078,,,,,25429,,,,,26855,..,..,..,..,31654,,,,,36454,,,,,45595,,,,,54736,,,,,59306,,,
Bahrain,"International migrant stock, total",26733,,,,,38357,,,,,37946,,,,,60092,,,,,103466,,,,,137052,,,,,173212,..,..,..,..,205979,,,,,239361,,,,,404018,,,,,657856,,,,,704137,,,
Bangladesh,"International migrant stock, total",661411,,,,,685166,,,,,726989,,,,,768579,,,,,804526,,,,,842155,,,,,881617,..,..,..,..,934735,,,,,987853,,,,,1166700,,,,,1345546,,,,,1422805,,,
Barbados,"International migrant stock, total",9760,,,,,11443,,,,,13420,,,,,15850,,,,,18671,,,,,19985,,,,,24024,..,..,..,..,26224,,,,,28424,,,,,30624,,,,,32825,,,,,34475,,,
Belarus,"International migrant stock, total",,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,1248977,..,..,..,..,1186282,,,,,1123586,,,,,1106982,,,,,1090378,,,,,1082905,,,
Belgium,"International migrant stock, total",441555,,,,,606859,,,,,695361,,,,,820201,,,,,896823,,,,,871821,,,,,891537,..,..,..,..,885278,,,,,853369,,,,,870862,,,,,1052844,,,,,1387940,,,
Belize,"International migrant stock, total",7621,,,,,8831,,,,,10197,,,,,10953,,,,,13859,,,,,25673,,,,,30404,..,..,..,..,33446,,,,,36488,,,,,41424,,,,,46360,,,,,53860,,,
Benin,"International migrant stock, total",34019,,,,,38777,,,,,44750,,,,,50383,,,,,57430,,,,,67713,,,,,76212,..,..,..,..,104971,,,,,133730,,,,,171499,,,,,209267,,,,,245399,,,
Bermuda,"International migrant stock, total",8749,,,,,11083,,,,,14258,,,,,14335,,,,,14189,,,,,14917,,,,,15683,..,..,..,..,16676,,,,,17668,,,,,18276,,,,,18884,,,,,19126,,,
Bhutan,"International migrant stock, total",9676,,,,,11243,,,,,13063,,,,,15178,,,,,17635,,,,,20490,,,,,23807,..,..,..,..,27972,,,,,32137,,,,,40279,,,,,48420,,,,,51106,,,
Bolivia,"International migrant stock, total",42709,,,,,46944,,,,,51599,,,,,56715,,,,,58481,,,,,59033,,,,,73758,..,..,..,..,83598,,,,,92658,,,,,107745,,,,,122846,,,,,142989,,,
Bosnia and Herzegovina,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,56000,..,..,..,..,69476,,,,,82952,,,,,47272,,,,,38792,,,,,34803,,,
Botswana,"International migrant stock, total",7199,,,,,8655,,,,,10404,,,,,12507,,,,,15036,,,,,20034,,,,,27510,..,..,..,..,40168,,,,,57064,,,,,88829,,,,,120912,,,,,160644,,,
Brazil,"International migrant stock, total",1397119,,,,,1314922,,,,,1231834,,,,,1170533,,,,,1112834,,,,,944562,,,,,798517,..,..,..,..,741557,,,,,684596,,,,,638582,,,,,592568,,,,,713568,,,
British Virgin Islands,"International migrant stock, total",651,,,,,1464,,,,,3180,,,,,3513,,,,,3906,,,,,5444,,,,,8035,..,..,..,..,10046,,,,,12058,,,,,13808,,,,,15558,,,,,17308,,,
Brunei Darussalam,"International migrant stock, total",20562,,,,,26038,,,,,32903,,,,,41032,,,,,50977,,,,,61374,,,,,73200,..,..,..,..,84748,,,,,96296,,,,,98441,,,,,100587,,,,,102733,,,
Bulgaria,"International migrant stock, total",20295,,,,,20783,,,,,21189,,,,,21513,,,,,21709,,,,,21846,,,,,21510,..,..,..,..,32435,,,,,43360,,,,,61074,,,,,76287,,,,,102113,,,
Burkina Faso,"International migrant stock, total",62943,,,,,74981,,,,,89322,,,,,106405,,,,,170487,,,,,273256,,,,,349657,..,..,..,..,434848,,,,,520039,,,,,596972,,,,,673904,,,,,704676,,,
Burundi,"International migrant stock, total",126323,,,,,184633,,,,,143820,,,,,139741,,,,,223791,,,,,343406,,,,,333110,..,..,..,..,254853,,,,,125628,,,,,172874,,,,,235259,,,,,286810,,,
Cabo Verde,"International migrant stock, total",6613,,,,,6953,,,,,7310,,,,,7685,,,,,8080,,,,,8495,,,,,8931,..,..,..,..,9979,,,,,11027,,,,,12700,,,,,14373,,,,,14924,,,
Cambodia,"International migrant stock, total",381271,,,,,373625,,,,,342322,,,,,14551,,,,,4168,,,,,12647,,,,,38375,..,..,..,..,92230,,,,,146085,,,,,114031,,,,,81977,,,,,73963,,,
Cameroon,"International migrant stock, total",175430,,,,,187956,,,,,201375,,,,,215753,,,,,231157,,,,,247661,,,,,265344,..,..,..,..,246864,,,,,228383,,,,,258737,,,,,289091,,,,,381984,,,
Canada,"International migrant stock, total",2766304,,,,,3020552,,,,,3251353,,,,,3517845,,,,,3810578,,,,,3900558,,,,,4333318,..,..,..,..,4864778,,,,,5511914,,,,,6078985,,,,,7011226,,,,,7835502,,,
Cayman Islands,"International migrant stock, total",957,,,,,1220,,,,,1586,,,,,3069,,,,,5722,,,,,8583,,,,,9387,..,..,..,..,14320,,,,,19253,,,,,21655,,,,,24057,,,,,23726,,,
Central African Republic,"International migrant stock, total",43128,,,,,45905,,,,,48861,,,,,52007,,,,,55355,,,,,58919,,,,,67234,..,..,..,..,99712,,,,,123529,,,,,94449,,,,,93466,,,,,81598,,,
Chad,"International migrant stock, total",55072,,,,,57896,,,,,60865,,,,,63986,,,,,67267,,,,,70716,,,,,74342,..,..,..,..,89584,,,,,104825,,,,,352062,,,,,416924,,,,,516968,,,
Channel Islands,"International migrant stock, total",33482,,,,,39739,,,,,47165,,,,,50280,,,,,52493,,,,,38770,,,,,61660,..,..,..,..,60519,,,,,64301,,,,,70941,,,,,77581,,,,,82307,,,
Chile,"International migrant stock, total",104805,,,,,97551,,,,,90271,,,,,85985,,,,,81903,,,,,90096,,,,,107501,..,..,..,..,142417,,,,,177332,,,,,273384,,,,,369436,,,,,469436,,,
China,"International migrant stock, total",245684,,,,,260479,,,,,280404,,,,,298474,,,,,311194,,,,,323937,,,,,376361,..,..,..,..,442198,,,,,508034,,,,,678947,,,,,849861,,,,,978046,,,
Colombia,"International migrant stock, total",58675,,,,,74918,,,,,79591,,,,,84796,,,,,90848,,,,,97331,,,,,104277,..,..,..,..,106943,,,,,109609,,,,,107612,,,,,124271,,,,,133134,,,
Comoros,"International migrant stock, total",1507,,,,,2138,,,,,3614,,,,,7098,,,,,14655,,,,,14364,,,,,14079,..,..,..,..,13939,,,,,13799,,,,,13209,,,,,12618,,,,,12555,,,
"Congo, Dem. Rep.","International migrant stock, total",1006930,,,,,1322475,,,,,1424581,,,,,1218362,,,,,1204366,,,,,725303,,,,,754194,..,..,..,..,1816963,,,,,744387,,,,,622869,,,,,588950,,,,,545694,,,
"Congo, Rep.","International migrant stock, total",26315,,,,,34324,,,,,44771,,,,,58398,,,,,76172,,,,,99356,,,,,129597,..,..,..,..,191635,,,,,305002,,,,,315238,,,,,419649,,,,,392996,,,
Costa Rica,"International migrant stock, total",32693,,,,,32073,,,,,25432,,,,,29169,,,,,68657,,,,,116745,,,,,417628,..,..,..,..,364287,,,,,310946,,,,,358175,,,,,405404,,,,,421697,,,
Cote d'Ivoire,"International migrant stock, total",767019,,,,,956111,,,,,1191820,,,,,1391404,,,,,1520693,,,,,1661995,,,,,1816426,..,..,..,..,2076394,,,,,1994135,,,,,2010824,,,,,2095185,,,,,2175399,,,
Croatia,"International migrant stock, total",..,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,475438,..,..,..,..,674085,,,,,585298,,,,,579273,,,,,573248,,,,,576883,,,
Cuba,"International migrant stock, total",143616,,,,,136612,,,,,129950,,,,,93317,,,,,67010,,,,,48120,,,,,34555,..,..,..,..,26187,,,,,17818,,,,,17023,,,,,14818,,,,,13336,,,
Curacao,"International migrant stock, total",..,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,..,,,,,34627,,,,,37611,,,
Cyprus,"International migrant stock, total",29589,,,,,32483,,,,,34485,,,,,36610,,,,,38866,,,,,41262,,,,,43805,..,..,..,..,61941,,,,,80076,,,,,117165,,,,,187923,,,,,196167,,,
Czech Republic,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,110394,..,..,..,..,165592,,,,,220789,,,,,322540,,,,,397785,,,,,405093,,,
Denmark,"International migrant stock, total",93989,,,,,99954,,,,,117442,,,,,138684,,,,,163769,,,,,195793,,,,,235189,..,..,..,..,303108,,,,,371026,,,,,440383,,,,,509740,,,,,572520,,,
Djibouti,"International migrant stock, total",11766,,,,,15883,,,,,21440,,,,,28941,,,,,80230,,,,,67188,,,,,122221,..,..,..,..,99774,,,,,100507,,,,,92091,,,,,101575,,,,,112351,,,
Dominica,"International migrant stock, total",2390,,,,,2219,,,,,2061,,,,,1913,,,,,1777,,,,,2072,,,,,2519,..,..,..,..,3121,,,,,3723,,,,,4744,,,,,5765,,,,,6720,,,
Dominican Republic,"International migrant stock, total",144583,,,,,167981,,,,,195166,,,,,215691,,,,,238375,,,,,263445,,,,,291151,..,..,..,..,323381,,,,,355611,,,,,376001,,,,,393720,,,,,415564,,,
Ecuador,"International migrant stock, total",24061,,,,,32827,,,,,44787,,,,,59315,,,,,70354,,,,,77169,,,,,78663,..,..,..,..,115093,,,,,151523,,,,,187404,,,,,325366,,,,,387513,,,
"Egypt, Arab Rep.","International migrant stock, total",212376,,,,,208115,,,,,203514,,,,,196071,,,,,188889,,,,,182920,,,,,173708,..,..,..,..,166955,,,,,173452,,,,,274001,,,,,295714,,,,,491643,,,
El Salvador,"International migrant stock, total",34446,,,,,34453,,,,,32534,,,,,30963,,,,,29719,,,,,28258,,,,,47360,..,..,..,..,39537,,,,,31713,,,,,36019,,,,,40324,,,,,42045,,,
Equatorial Guinea,"International migrant stock, total",19351,,,,,13970,,,,,10086,,,,,7282,,,,,5257,,,,,3795,,,,,2740,..,..,..,..,3629,,,,,4517,,,,,6588,,,,,8658,,,,,10825,,,
Eritrea,"International migrant stock, total",7703,,,,,8266,,,,,8896,,,,,9585,,,,,10323,,,,,11040,,,,,11848,..,..,..,..,12400,,,,,12952,,,,,14314,,,,,15676,,,,,15941,,,
Estonia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,381997,..,..,..,..,315755,,,,,249512,,,,,233701,,,,,217890,,,,,202348,,,
Eswatini,"International migrant stock, total",16944,,,,,34813,,,,,33766,,,,,27735,,,,,33740,,,,,40960,,,,,72085,..,..,..,..,25031,,,,,22855,,,,,27097,,,,,30476,,,,,31579,,,
Ethiopia,"International migrant stock, total",393260,,,,,383551,,,,,394582,,,,,392082,,,,,404192,,,,,583658,,,,,1155390,..,..,..,..,806904,,,,,611384,,,,,514242,,,,,567720,,,,,1072949,,,
Faroe Islands,"International migrant stock, total",1489,,,,,1716,,,,,1978,,,,,2280,,,,,2628,,,,,3029,,,,,4285,..,..,..,..,2900,,,,,3593,,,,,4583,,,,,5096,,,,,5517,,,
Fiji,"International migrant stock, total",20078,,,,,17953,,,,,16394,,,,,15071,,,,,14025,,,,,13103,,,,,13283,..,..,..,..,13001,,,,,12719,,,,,12435,,,,,13351,,,,,13751,,,
Finland,"International migrant stock, total",32084,,,,,32196,,,,,32491,,,,,35352,,,,,38789,,,,,48822,,,,,63255,..,..,..,..,99729,,,,,136203,,,,,192169,,,,,248135,,,,,315881,,,
France,"International migrant stock, total",3507213,,,,,4447230,,,,,5210336,,,,,5571664,,,,,5890633,,,,,5952820,,,,,5897267,..,..,..,..,6087993,,,,,6278718,,,,,6737600,,,,,7196481,,,,,7784418,,,
French Polynesia,"International migrant stock, total",3665,,,,,5480,,,,,8194,,,,,12252,,,,,18015,,,,,23734,,,,,25830,..,..,..,..,28360,,,,,30329,,,,,32286,,,,,31640,,,,,30058,,,
Gabon,"International migrant stock, total",20865,,,,,29030,,,,,40391,,,,,61887,,,,,94824,,,,,110027,,,,,127980,..,..,..,..,152972,,,,,195571,,,,,214123,,,,,243992,,,,,268384,,,
"Gambia, The","International migrant stock, total",31551,,,,,39073,,,,,48389,,,,,60210,,,,,75374,,,,,94358,,,,,118123,..,..,..,..,150890,,,,,182514,,,,,181905,,,,,185763,,,,,192540,,,
Georgia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,338300,..,..,..,..,278450,,,,,218600,,,,,199805,,,,,182202,,,,,168802,,,
Germany,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,5936181,..,..,..,..,7464406,,,,,8992631,,,,,10299160,,,,,11605690,,,,,12005690,,,
Ghana,"International migrant stock, total",529720,,,,,427416,,,,,351973,,,,,384784,,,,,420653,,,,,494449,,,,,164851,..,..,..,..,252879,,,,,191601,,,,,304436,,,,,337017,,,,,399471,,,
Gibraltar,"International migrant stock, total",6765,,,,,7681,,,,,9071,,,,,9436,,,,,9747,,,,,9404,,,,,8709,..,..,..,..,8381,,,,,8054,,,,,9211,,,,,10369,,,,,11065,,,
Greece,"International migrant stock, total",52495,,,,,68707,,,,,89572,,,,,123472,,,,,171755,,,,,309261,,,,,618139,..,..,..,..,857850,,,,,1111665,,,,,1190707,,,,,1269749,,,,,1242514,,,
Greenland,"International migrant stock, total",2591,,,,,4269,,,,,7225,,,,,8571,,,,,8820,,,,,9277,,,,,9416,..,..,..,..,7320,,,,,6755,,,,,6686,,,,,6226,,,,,6009,,,
Grenada,"International migrant stock, total",4011,,,,,3549,,,,,3140,,,,,2778,,,,,2458,,,,,3123,,,,,4263,..,..,..,..,5544,,,,,6825,,,,,6902,,,,,6980,,,,,7057,,,
Guam,"International migrant stock, total",31001,,,,,34190,,,,,37806,,,,,43897,,,,,50997,,,,,59836,,,,,69755,..,..,..,..,71912,,,,,74070,,,,,74743,,,,,75416,,,,,76089,,,
Guatemala,"International migrant stock, total",43309,,,,,47677,,,,,40772,,,,,38201,,,,,42021,,,,,81584,,,,,264257,..,..,..,..,156188,,,,,48119,,,,,57252,,,,,66384,,,,,76352,,,
Guinea,"International migrant stock, total",11313,,,,,13818,,,,,16878,,,,,20615,,,,,25180,,,,,30755,,,,,403621,..,..,..,..,774505,,,,,560075,,,,,229611,,,,,205111,,,,,228413,,,
Guinea-Bissau,"International migrant stock, total",11643,,,,,11938,,,,,12241,,,,,12551,,,,,12869,,,,,12614,,,,,15368,..,..,..,..,27961,,,,,20450,,,,,20736,,,,,21061,,,,,22333,,,
Guyana,"International migrant stock, total",14035,,,,,13454,,,,,12715,,,,,8979,,,,,6363,,,,,5105,,,,,4095,..,..,..,..,6352,,,,,8610,,,,,10868,,,,,13126,,,,,15384,,,
Haiti,"International migrant stock, total",14533,,,,,12718,,,,,11130,,,,,12118,,,,,14098,,,,,16403,,,,,19084,..,..,..,..,22458,,,,,25832,,,,,30468,,,,,35104,,,,,39529,,,
Honduras,"International migrant stock, total",60024,,,,,37807,,,,,20625,,,,,14434,,,,,32767,,,,,82874,,,,,270423,..,..,..,..,149442,,,,,28461,,,,,27875,,,,,27288,,,,,28070,,,
"Hong Kong SAR, China","International migrant stock, total",1627488,,,,,1696828,,,,,1715474,,,,,1884492,,,,,2100549,,,,,2184333,,,,,2218473,..,..,..,..,2443798,,,,,2669122,,,,,2721235,,,,,2779950,,,,,2838665,,,
Hungary,"International migrant stock, total",518137,,,,,475994,,,,,437279,,,,,401713,,,,,369039,,,,,339023,,,,,347510,..,..,..,..,322234,,,,,296957,,,,,366787,,,,,436616,,,,,449632,,,
Iceland,"International migrant stock, total",3317,,,,,4515,,,,,4914,,,,,5279,,,,,5765,,,,,7098,,,,,9584,..,..,..,..,12738,,,,,15892,,,,,25492,,,,,35091,,,,,37522,,,
India,"International migrant stock, total",9410535,,,,,9350557,,,,,9181520,,,,,9011238,,,,,8845466,,,,,8131017,,,,,7493204,..,..,..,..,6952238,,,,,6411272,,,,,5923642,,,,,5436012,,,,,5240960,,,
