"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","Strength","Strength","-","68.40"
"2","Netherlands","Strength","Strength","-","63.30"
"3","Sweden","Strength","Strength","-","63.10"
"4","United Kingdom","","Strength","-","60.10"
"5","Singapore","","","-","59.80"
"6","United States of America","","","-","59.80"
"7","Finland","","","-","59.60"
"8","Denmark","","","-","58.40"
"9","Germany","","","-","58.00"
"10","Ireland","","","-","57.20"
"11","Israel","","","-","56.80"
"12","Korea, Republic of","","","-","56.60"
"13","Japan","","","-","55.00"
"14","Hong Kong (China)","","","-","54.60"
"15","Luxembourg","","","-","54.50"
"16","France","","","-","54.40"
"17","China","","","-","53.10"
"18","Canada","","","-","53.00"
"19","Norway","","","-","52.60"
"20","Australia","Weakness","","-","52.00"
"21","Austria","Weakness","","-","51.30"
"22","New Zealand","Weakness","","-","51.30"
"23","Iceland","Weakness","","-","51.20"
"24","Estonia","Weakness","","-","50.50"
"25","Belgium","Weakness","","-","50.50"
"26","Malta","","","-","50.30"
"27","Czech Republic","","","-","48.70"
"28","Spain","","","-","48.70"
"29","Cyprus","","","-","47.80"
"30","Slovenia","","","-","46.90"
"31","Italy","","","-","46.30"
"32","Portugal","","","-","45.70"
"33","Hungary","","","-","44.90"
"34","Latvia","","","-","43.20"
"35","Malaysia","Strength","","-","43.00"
"36","Slovakia","","","-","42.90"
"37","Bulgaria","Strength","","-","42.60"
"38","United Arab Emirates","","","-","42.60"
"39","Poland","","","-","41.70"
"40","Lithuania","","","-","41.20"
"41","Croatia","Strength","","-","40.70"
"42","Greece","","","-","38.90"
"43","Ukraine","Strength","","-","38.50"
"44","Thailand","","","-","38.00"
"45","Viet Nam","Strength","","-","37.90"
"46","Russian Federation","","","-","37.90"
"47","Chile","Weakness","","-","37.80"
"48","Moldova, Republic of","Strength","","-","37.60"
"49","Romania","","","-","37.60"
"50","Turkey","","","-","37.40"
"51","Qatar","Weakness","","-","36.60"
"52","Montenegro","","","-","36.50"
"53","Mongolia","Strength","","-","35.90"
"54","Costa Rica","","","-","35.70"
"55","Serbia","","","-","35.50"
"56","Mexico","","","-","35.30"
"57","India","Strength","","-","35.20"
"58","South Africa","","","-","35.10"
"59","Georgia","Strength","","-","35.00"
"60","Kuwait","Weakness","","-","34.40"
"61","Saudi Arabia","Weakness","","-","34.30"
"62","Uruguay","Weakness","","-","34.20"
"63","Colombia","","","-","33.80"
"64","Brazil","","","-","33.40"
"65","Iran, Islamic Republic of","","","-","33.40"
"66","Tunisia","","","-","32.90"
"67","Brunei Darussalam","Weakness","","-","32.80"
"68","Armenia","","","-","32.80"
"69","Oman","Weakness","","-","32.80"
"70","Panama","","","-","32.40"
"71","Peru","","","-","31.80"
"72","Bahrain","Weakness","","-","31.70"
"73","Philippines","","","-","31.60"
"74","Kazakhstan","","","-","31.40"
"75","Mauritius","","","-","31.30"
"76","Morocco","","","-","31.10"
"77","Bosnia and Herzegovina","","","-","31.10"
"78","Kenya","","","-","31.10"
"79","Jordan","","","-","30.80"
"80","Argentina","","","-","30.70"
"81","Jamaica","","","-","30.40"
"82","Azerbaijan","","","-","30.20"
"83","Albania","","","-","30.00"
"84","TFYR Macedonia","","","-","29.90"
"85","Indonesia","","","-","29.80"
"86","Belarus","","","-","29.40"
"87","Dominican Republic","","","-","29.30"
"88","Sri Lanka","","","-","28.70"
"89","Paraguay","","","-","28.70"
"90","Lebanon","","","-","28.20"
"91","Botswana","","","-","28.20"
"92","Tanzania, United Republic of","Strength","","-","28.10"
"93","Namibia","","","-","28.00"
"94","Kyrgyzstan","","","-","27.60"
"95","Egypt","","","-","27.20"
"96","Trinidad and Tobago","Weakness","","-","27.00"
"97","Ecuador","Weakness","","-","26.80"
"98","Cambodia","","","-","26.70"
"99","Rwanda","Strength","","-","26.50"
"100","Senegal","Strength","","-","26.50"
"101","Tajikistan","","","-","26.50"
"102","Guatemala","","","-","25.50"
"103","Uganda","","","-","25.30"
"104","El Salvador","","","-","25.10"
"105","Honduras","","","-","24.90"
"106","Madagascar","","","-","24.80"
"107","Ghana","","","-","24.50"
"108","Nepal","","","-","24.20"
"109","Pakistan","","","-","24.10"
"110","Algeria","Weakness","","-","23.90"
"111","Cameroon","","","-","23.80"
"112","Mali","","","-","23.30"
"113","Zimbabwe","","","-","23.10"
"114","Malawi","","","-","23.10"
"115","Mozambique","","","-","23.10"
"116","Bangladesh","","","-","23.10"
"117","Bolivia, Plurinational State of","","Weakness","-","22.90"
"118","Nigeria","Weakness","","-","22.40"
"119","Guinea","","","-","20.70"
"120","Zambia","Weakness","Weakness","-","20.70"
"121","Benin","","","-","20.60"
"122","Niger","","","-","20.60"
"123","C̫te d'Ivoire","Weakness","Weakness","-","20.00"
"124","Burkina Faso","Weakness","Weakness","-","18.90"
"125","Togo","Weakness","Weakness","-","18.90"
"126","Yemen","Weakness","Weakness","-","15.00"
